,0
576,正面
577,负面
578,负面
579,负面
580,负面
581,正面
582,正面
583,负面
584,正面
585,负面
586,正面
587,负面
588,正面
589,负面
590,正面
591,正面
592,负面
593,正面
594,正面
595,负面
596,负面
597,正面
598,正面
599,负面
600,正面
601,负面
602,正面
603,正面
604,正面
605,正面
606,正面
607,正面
608,正面
609,正面
610,正面
611,正面
612,正面
613,正面
614,正面
615,正面
616,正面
617,正面
618,正面
619,正面
620,负面
621,正面
622,正面
623,正面
624,负面
625,负面
626,负面
627,正面
628,负面
629,正面
630,正面
631,正面
632,正面
633,正面
634,正面
635,正面
636,负面
637,正面
638,负面
639,负面
640,正面
641,正面
642,正面
643,正面
644,正面
645,正面
646,负面
647,正面
648,正面
649,正面
650,负面
651,正面
652,正面
653,正面
654,正面
655,正面
656,正面
657,正面
658,正面
659,正面
660,正面
661,正面
662,正面
663,正面
664,正面
665,负面
666,正面
667,正面
668,正面
669,正面
670,负面
671,负面
672,正面
673,正面
674,负面
675,负面
676,负面
677,负面
678,正面
679,负面
680,正面
681,负面
682,正面
683,正面
684,正面
685,正面
686,正面
687,正面
688,负面
689,正面
690,正面
691,负面
692,正面
693,负面
694,正面
695,正面
696,正面
697,负面
698,负面
699,正面
700,正面
701,正面
702,正面
703,负面
704,正面
705,正面
706,正面
707,负面
708,负面
709,负面
710,负面
711,正面
712,正面
713,正面
714,正面
715,正面
716,正面
717,正面
718,正面
719,负面
720,正面
721,负面
722,负面
723,负面
724,正面
725,正面
726,负面
727,负面
728,正面
729,负面
730,正面
731,正面
732,正面
733,正面
734,正面
735,正面
736,负面
737,正面
738,正面
739,正面
740,正面
741,正面
742,正面
743,正面
744,正面
745,正面
746,负面
747,负面
748,负面
749,正面
750,负面
751,负面
752,负面
753,负面
754,负面
755,正面
756,正面
757,正面
758,正面
759,正面
760,正面
761,正面
762,正面
763,正面
764,负面
765,负面
766,正面
767,正面
768,负面
769,正面
770,正面
771,正面
772,正面
773,正面
774,正面
775,正面
776,正面
777,负面
778,正面
779,正面
780,正面
781,正面
782,正面
783,正面
784,正面
785,正面
786,负面
787,正面
788,负面
789,正面
790,正面
791,正面
792,正面
793,正面
794,正面
795,正面
796,正面
797,正面
798,正面
799,负面
800,负面
801,正面
802,正面
803,正面
804,正面
805,正面
806,负面
807,正面
808,正面
809,负面
810,正面
811,正面
812,正面
813,正面
814,正面
815,正面
816,正面
817,正面
818,正面
819,负面
820,正面
821,正面
822,正面
823,负面
824,负面
825,负面
826,正面
827,正面
828,正面
829,正面
830,正面
831,正面
832,正面
833,负面
834,负面
835,正面
836,正面
837,正面
838,正面
839,正面
840,正面
841,正面
842,负面
843,正面
844,负面
845,正面
846,正面
847,正面
848,正面
849,正面
850,负面
851,正面
852,正面
853,正面
854,正面
855,正面
856,正面
857,正面
858,正面
859,正面
860,负面
861,正面
862,正面
863,正面
864,正面
865,负面
866,正面
867,负面
868,正面
869,正面
870,正面
871,正面
872,正面
873,正面
874,正面
875,正面
876,正面
877,正面
878,正面
879,正面
880,正面
881,负面
882,正面
883,正面
884,正面
885,正面
886,正面
887,正面
888,正面
889,正面
890,正面
891,正面
892,正面
893,负面
894,负面
895,正面
896,正面
897,负面
898,负面
899,正面
900,正面
901,正面
902,正面
903,负面
904,正面
905,正面
906,正面
907,负面
908,正面
909,负面
910,负面
911,正面
912,负面
913,正面
914,负面
915,负面
916,正面
917,负面
918,正面
919,正面
920,正面
921,正面
922,正面
923,正面
924,正面
925,正面
926,正面
927,正面
928,正面
929,正面
930,正面
931,正面
932,正面
933,正面
934,正面
935,正面
936,正面
937,正面
938,正面
939,正面
940,正面
941,正面
942,正面
943,正面
944,负面
945,正面
946,正面
947,负面
948,正面
949,正面
950,正面
951,正面
952,正面
953,正面
954,正面
955,正面
956,负面
957,负面
958,正面
959,负面
960,正面
961,正面
962,正面
963,正面
964,正面
965,负面
966,正面
967,负面
968,正面
969,正面
970,负面
971,正面
972,正面
973,正面
974,正面
975,负面
976,负面
977,正面
978,正面
979,负面
980,正面
981,正面
982,正面
983,负面
984,正面
985,正面
986,正面
987,正面
988,正面
989,负面
990,正面
991,正面
992,正面
993,正面
994,正面
995,正面
996,正面
997,正面
998,正面
999,正面
1000,正面
1001,正面
1002,正面
1003,正面
1004,正面
1005,正面
1006,正面
1007,正面
1008,正面
1009,负面
1010,负面
1011,正面
1012,正面
1013,负面
1014,正面
1015,正面
1016,正面
1017,正面
1018,正面
1019,正面
1020,负面
1021,正面
1022,正面
1023,正面
1024,正面
1025,负面
1026,正面
1027,正面
1028,正面
1029,正面
1030,正面
1031,正面
1032,正面
1033,正面
1034,正面
1035,正面
1036,正面
1037,正面
1038,负面
1039,正面
1040,正面
1041,正面
1042,正面
1043,正面
1044,正面
1045,正面
1046,正面
1047,正面
1048,正面
1049,正面
1050,正面
1051,正面
1052,正面
1053,正面
1054,正面
1055,正面
1056,正面
1057,正面
1058,正面
1059,正面
1060,正面
1061,正面
1062,负面
1063,负面
1064,正面
1065,正面
1066,正面
1067,正面
1068,正面
1069,负面
1070,正面
1071,正面
1072,正面
1073,负面
1074,正面
1075,正面
1076,正面
1077,正面
1078,正面
1079,正面
1080,正面
1081,负面
1082,正面
1083,正面
1084,负面
1085,正面
1086,正面
1087,正面
1088,正面
1089,正面
1090,正面
1091,正面
1092,正面
1093,负面
1094,负面
1095,正面
1096,负面
1097,正面
1098,正面
1099,正面
1100,正面
1101,正面
1102,正面
1103,正面
1104,正面
1105,正面
1106,正面
1107,负面
1108,负面
1109,正面
1110,正面
1111,正面
1112,正面
1113,正面
1114,正面
1115,正面
1116,正面
1117,正面
1118,正面
1119,正面
1120,负面
1121,正面
1122,负面
1123,负面
1124,正面
1125,正面
1126,正面
1127,正面
1128,负面
1129,正面
1130,正面
1131,正面
1132,正面
1133,正面
1134,正面
1135,正面
1136,正面
1137,正面
1138,正面
1139,正面
1140,正面
1141,正面
1142,负面
1143,负面
1144,负面
1145,正面
1146,正面
1147,正面
1148,正面
1149,负面
1150,正面
1151,正面
1152,正面
1153,正面
1154,负面
1155,正面
1156,正面
1157,正面
1158,负面
1159,正面
1160,正面
1161,正面
1162,正面
1163,正面
1164,正面
1165,正面
1166,正面
1167,正面
1168,正面
1169,正面
1170,正面
1171,正面
1172,正面
1173,正面
1174,负面
1175,正面
1176,正面
1177,正面
1178,正面
1179,正面
1180,正面
1181,正面
1182,正面
1183,正面
1184,正面
1185,正面
1186,正面
1187,正面
1188,正面
1189,负面
1190,正面
1191,正面
1192,正面
1193,正面
1194,正面
1195,正面
1196,正面
1197,正面
1198,正面
1199,正面
1200,正面
1201,正面
1202,正面
1203,正面
1204,正面
1205,正面
1206,正面
1207,正面
1208,正面
1209,正面
1210,正面
1211,正面
1212,正面
1213,正面
1214,正面
1215,负面
1216,正面
1217,正面
1218,正面
1219,正面
1220,正面
1221,正面
1222,负面
1223,正面
1224,正面
1225,正面
1226,正面
1227,正面
1228,正面
1229,正面
1230,正面
1231,正面
1232,正面
1233,正面
1234,正面
1235,正面
1236,正面
1237,负面
1238,正面
1239,正面
1240,正面
1241,正面
1242,正面
1243,正面
1244,负面
1245,正面
1246,正面
1247,正面
1248,正面
1249,正面
1250,正面
1251,负面
1252,正面
1253,正面
1254,负面
1255,负面
1256,正面
1257,正面
1258,正面
1259,负面
1260,正面
1261,正面
1262,正面
1263,正面
1264,正面
1265,正面
1266,正面
1267,正面
1268,负面
1269,正面
1270,正面
1271,正面
1272,负面
1273,负面
1274,正面
1275,负面
1276,正面
1277,正面
1278,负面
1279,正面
1280,正面
1281,正面
1282,正面
1283,正面
1284,正面
1285,正面
1286,正面
1287,正面
1288,正面
1289,正面
1290,负面
1291,负面
1292,正面
1293,正面
1294,正面
1295,正面
1296,正面
1297,正面
1298,正面
1299,正面
1300,负面
1301,正面
1302,正面
1303,正面
1304,负面
